tvg_name	title	original_tvg_id	effective_tvg_id
##### 4K ᵁᴴᴰ ³⁸⁴⁰ᴾ #####	##### 4K ᵁᴴᴰ ³⁸⁴⁰ᴾ #####		##### 4K ᵁᴴᴰ ³⁸⁴⁰ᴾ #####
4K: V SPORT ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: V SPORT ᵁᴴᴰ ³⁸⁴⁰ᴾ	VSportUltraHD.no	VSportUltraHD.no
4K: V SPORT+ ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: V SPORT+ ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: V SPORT+ ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: ELEVEN ᴾᴸ ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: ELEVEN ᴾᴸ ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: ELEVEN ᴾᴸ ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: ELEVEN SPORTS ᴾᴸ ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: ELEVEN SPORTS ᴾᴸ ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: ELEVEN SPORTS ᴾᴸ ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: ELEVEN SPORTS 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: ELEVEN SPORTS 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ	ElevenSports1NL.be	ElevenSports1NL.be
4K: YES SPORT 5 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: YES SPORT 5 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: YES SPORT 5 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: TNT SPORTS ᵁᴴᴰ ³⁸⁴⁰ᴾ (EVENT)	4K: TNT SPORTS ᵁᴴᴰ ³⁸⁴⁰ᴾ (EVENT)		4K: TNT SPORTS ᵁᴴᴰ ³⁸⁴⁰ᴾ (EVENT)
4K: TNT ULTIMATE ᵁᴴᴰ ³⁸⁴⁰ᴾ+ (LIVE-EVENT)	4K: TNT ULTIMATE ᵁᴴᴰ ³⁸⁴⁰ᴾ+ (LIVE-EVENT)		4K: TNT ULTIMATE ᵁᴴᴰ ³⁸⁴⁰ᴾ+ (LIVE-EVENT)
4K: SKY SPORTS DARTS ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY SPORTS DARTS ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY SPORTS DARTS ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY SPORTS F1 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY SPORTS F1 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY SPORTS F1 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY SPORTS ᵁᴴᴰ ³⁸⁴⁰ᴾ (EVENT)	4K: SKY SPORTS ᵁᴴᴰ ³⁸⁴⁰ᴾ (EVENT)		4K: SKY SPORTS ᵁᴴᴰ ³⁸⁴⁰ᴾ (EVENT)
4K: SKY SPORT ᵁᴴᴰ ³⁸⁴⁰ᴾ (LIVE-EVENT)	4K: SKY SPORT ᵁᴴᴰ ³⁸⁴⁰ᴾ (LIVE-EVENT)		4K: SKY SPORT ᵁᴴᴰ ³⁸⁴⁰ᴾ (LIVE-EVENT)
4K: SKY SPORTS MAIN EVENTS ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY SPORTS MAIN EVENTS ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY SPORTS MAIN EVENTS ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: NOW SPORTS PREMIER LEAGUE ᵁᴴᴰ ³⁸⁴⁰ᴾ ᴺᴹ	4K: NOW SPORTS PREMIER LEAGUE ᵁᴴᴰ ³⁸⁴⁰ᴾ ᴺᴹ		4K: NOW SPORTS PREMIER LEAGUE ᵁᴴᴰ ³⁸⁴⁰ᴾ ᴺᴹ
4K: BEIN 4K ᵁᴴᴰ ³⁸⁴⁰ᴾ (EVENT ONLY)	4K: BEIN 4K ᵁᴴᴰ ³⁸⁴⁰ᴾ (EVENT ONLY)		4K: BEIN 4K ᵁᴴᴰ ³⁸⁴⁰ᴾ (EVENT ONLY)
4K: BEIN 4K ᵁᴴᴰ ³⁸⁴⁰ᴾ ᴺᴹ	4K: BEIN 4K ᵁᴴᴰ ³⁸⁴⁰ᴾ ᴺᴹ		4K: BEIN 4K ᵁᴴᴰ ³⁸⁴⁰ᴾ ᴺᴹ
4K: LA 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: LA 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: LA 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: LA 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: LA 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: LA 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: CANAL DECASA ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: CANAL DECASA ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: CANAL DECASA ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: ODISEA ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: ODISEA ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: ODISEA ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: IRIB ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: IRIB ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: IRIB ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: BLOOMBERG+ ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: BLOOMBERG+ ᵁᴴᴰ ³⁸⁴⁰ᴾ	BloombergEn.ae	BloombergEn.ae
4K: HOME ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: HOME ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: HOME ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: ODISEA ᵉˢ ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: ODISEA ᵉˢ ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: ODISEA ᵉˢ ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: QVC ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: QVC ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: QVC ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: DECASA ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: DECASA ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: DECASA ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: COCINA ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: COCINA ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: COCINA ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: MUSEUM ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: MUSEUM ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: MUSEUM ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SLOW ᵉˢ ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SLOW ᵉˢ ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SLOW ᵉˢ ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: DECASA ᵉˢ ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: DECASA ᵉˢ ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: DECASA ᵉˢ ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY PRIMAFILA 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY PRIMAFILA 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY PRIMAFILA 1 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY PRIMAFILA 2 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY PRIMAFILA 2 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY PRIMAFILA 2 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY PRIMAFILA 3 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY PRIMAFILA 3 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY PRIMAFILA 3 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY PRIMAFILA 4 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY PRIMAFILA 4 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY PRIMAFILA 4 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY PRIMAFILA 5 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY PRIMAFILA 5 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY PRIMAFILA 5 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY PRIMAFILA 6 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY PRIMAFILA 6 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY PRIMAFILA 6 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY PRIMAFILA 7 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY PRIMAFILA 7 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY PRIMAFILA 7 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY PRIMAFILA 8 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY PRIMAFILA 8 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY PRIMAFILA 8 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SKY PRIMAFILA 9 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SKY PRIMAFILA 9 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SKY PRIMAFILA 9 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: LOVE NATURE ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: LOVE NATURE ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: LOVE NATURE ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: TF1 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: TF1 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: TF1 ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: ZIGGO SPORT ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: ZIGGO SPORT ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: ZIGGO SPORT ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: ESPN ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: ESPN ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: ESPN ᵁᴴᴰ ³⁸⁴⁰ᴾ
4K: SPORTSNET 360 ᵁᴴᴰ ³⁸⁴⁰ᴾ	4K: SPORTSNET 360 ᵁᴴᴰ ³⁸⁴⁰ᴾ		4K: SPORTSNET 360 ᵁᴴᴰ ³⁸⁴⁰ᴾ
###### RELAX ᵁᴴᴰ 3840P ######	###### RELAX ᵁᴴᴰ 3840P ######		###### RELAX ᵁᴴᴰ 3840P ######
RX: RELAX MOROCCO ᵁᴴᴰ 3840P	RX: RELAX MOROCCO ᵁᴴᴰ 3840P		RX: RELAX MOROCCO ᵁᴴᴰ 3840P
RX: RELAX ALGERIA ᵁᴴᴰ 3840P	RX: RELAX ALGERIA ᵁᴴᴰ 3840P		RX: RELAX ALGERIA ᵁᴴᴰ 3840P
RX: RELAX ICELAND ᵁᴴᴰ 3840P	RX: RELAX ICELAND ᵁᴴᴰ 3840P		RX: RELAX ICELAND ᵁᴴᴰ 3840P
RX: RELAX NORWAY ᵁᴴᴰ 3840P	RX: RELAX NORWAY ᵁᴴᴰ 3840P		RX: RELAX NORWAY ᵁᴴᴰ 3840P
RX: RELAX TURKEY ᵁᴴᴰ 3840P	RX: RELAX TURKEY ᵁᴴᴰ 3840P		RX: RELAX TURKEY ᵁᴴᴰ 3840P
RX: RELAX AUSTRALIA ᵁᴴᴰ 3840P	RX: RELAX AUSTRALIA ᵁᴴᴰ 3840P		RX: RELAX AUSTRALIA ᵁᴴᴰ 3840P
RX: RELAX EARTH NATURE ᵁᴴᴰ 3840P	RX: RELAX EARTH NATURE ᵁᴴᴰ 3840P		RX: RELAX EARTH NATURE ᵁᴴᴰ 3840P
RX: RELAX FOREST ᵁᴴᴰ 3840P	RX: RELAX FOREST ᵁᴴᴰ 3840P		RX: RELAX FOREST ᵁᴴᴰ 3840P
RX: RELAX INSPIRATIONAL MOTIVATIONAL ᵁᴴᴰ 3840P	RX: RELAX INSPIRATIONAL MOTIVATIONAL ᵁᴴᴰ 3840P		RX: RELAX INSPIRATIONAL MOTIVATIONAL ᵁᴴᴰ 3840P
RX: RELAX THE OCEAN ᵁᴴᴰ 3840P	RX: RELAX THE OCEAN ᵁᴴᴰ 3840P		RX: RELAX THE OCEAN ᵁᴴᴰ 3840P
RX: RELAX TROPICAL BEACH ᵁᴴᴰ 3840P	RX: RELAX TROPICAL BEACH ᵁᴴᴰ 3840P		RX: RELAX TROPICAL BEACH ᵁᴴᴰ 3840P
4K: RELAX 1 ᵁᴴᴰ 3840P	4K: RELAX 1 ᵁᴴᴰ 3840P		4K: RELAX 1 ᵁᴴᴰ 3840P
4K: RELAX 2 ᵁᴴᴰ 3840P	4K: RELAX 2 ᵁᴴᴰ 3840P		4K: RELAX 2 ᵁᴴᴰ 3840P
4K: RELAX 3 ᵁᴴᴰ 3840P	4K: RELAX 3 ᵁᴴᴰ 3840P		4K: RELAX 3 ᵁᴴᴰ 3840P
4K: RELAX 4 ᵁᴴᴰ 3840P	4K: RELAX 4 ᵁᴴᴰ 3840P		4K: RELAX 4 ᵁᴴᴰ 3840P
4K: RELAX 5 ᵁᴴᴰ 3840P	4K: RELAX 5 ᵁᴴᴰ 3840P		4K: RELAX 5 ᵁᴴᴰ 3840P
4K: RELAX 6 ᵁᴴᴰ 3840P	4K: RELAX 6 ᵁᴴᴰ 3840P		4K: RELAX 6 ᵁᴴᴰ 3840P
4K: RELAX 7 ᵁᴴᴰ 3840P	4K: RELAX 7 ᵁᴴᴰ 3840P		4K: RELAX 7 ᵁᴴᴰ 3840P
4K: RELAX 8 ᵁᴴᴰ 3840P	4K: RELAX 8 ᵁᴴᴰ 3840P		4K: RELAX 8 ᵁᴴᴰ 3840P
4K: RELAX 9 ᵁᴴᴰ 3840P	4K: RELAX 9 ᵁᴴᴰ 3840P		4K: RELAX 9 ᵁᴴᴰ 3840P
4K: RELAX 10 ᵁᴴᴰ 3840P	4K: RELAX 10 ᵁᴴᴰ 3840P		4K: RELAX 10 ᵁᴴᴰ 3840P
4K: RELAX 11 ᵁᴴᴰ 3840P	4K: RELAX 11 ᵁᴴᴰ 3840P		4K: RELAX 11 ᵁᴴᴰ 3840P
4K: RELAX 12 ᵁᴴᴰ 3840P	4K: RELAX 12 ᵁᴴᴰ 3840P		4K: RELAX 12 ᵁᴴᴰ 3840P
4K: RELAX 13 ᵁᴴᴰ 3840P	4K: RELAX 13 ᵁᴴᴰ 3840P		4K: RELAX 13 ᵁᴴᴰ 3840P
4K: RELAX 14 ᵁᴴᴰ 3840P	4K: RELAX 14 ᵁᴴᴰ 3840P		4K: RELAX 14 ᵁᴴᴰ 3840P
4K: RELAX 15 ᵁᴴᴰ 3840P	4K: RELAX 15 ᵁᴴᴰ 3840P		4K: RELAX 15 ᵁᴴᴰ 3840P
##### UNITED KINGDOM ᴿᴬᵂ #####	##### UNITED KINGDOM ᴿᴬᵂ #####		##### UNITED KINGDOM ᴿᴬᵂ #####
UK: SKY SPORT NEWS ᴿᴬᵂ	UK: SKY SPORT NEWS ᴿᴬᵂ	skysportsnews.uk	skysportsnews.uk
UK: SKY SPORT CKRECKT ᴿᴬᵂ	UK: SKY SPORT CKRECKT ᴿᴬᵂ	skysportscricket.uk	skysportscricket.uk
UK: SKY SPORT MAIN EVENT ᴿᴬᵂ	UK: SKY SPORT MAIN EVENT ᴿᴬᵂ	skysportsmainevent.uk	skysportsmainevent.uk
UK: SKY SPORT ACTION ᴿᴬᵂ	UK: SKY SPORT ACTION ᴿᴬᵂ	skysportsaction.uk	skysportsaction.uk
UK: SKY SPORT F1 ᴿᴬᵂ	UK: SKY SPORT F1 ᴿᴬᵂ	skysportsf1.uk	skysportsf1.uk
UK: SKY SPORT GOLF ᴿᴬᵂ	UK: SKY SPORT GOLF ᴿᴬᵂ	skysportsgolf.uk	skysportsgolf.uk
UK: SKY SPORT MIX ᴿᴬᵂ	UK: SKY SPORT MIX ᴿᴬᵂ	skysportsmix.uk	skysportsmix.uk
UK: SKY SPORT PLUS ᴿᴬᵂ	UK: SKY SPORT PLUS ᴿᴬᵂ		UK: SKY SPORT PLUS ᴿᴬᵂ
UK: SKY SPORT PRIME LIGE ᴿᴬᵂ	UK: SKY SPORT PRIME LIGE ᴿᴬᵂ	skysportspremiereleague.uk	skysportspremiereleague.uk
UK: SKY SPORT RACING ᴿᴬᵂ	UK: SKY SPORT RACING ᴿᴬᵂ	skysportsracing.uk	skysportsracing.uk
UK: SKY SPORT TENNIS ᴿᴬᵂ	UK: SKY SPORT TENNIS ᴿᴬᵂ	skysportstennis.uk	skysportstennis.uk
UK: SKY WITNESS ᴿᴬᵂ	UK: SKY WITNESS ᴿᴬᵂ	skywitness.uk	skywitness.uk
UK: TNT SPORT 1 ᴿᴬᵂ	UK: TNT SPORT 1 ᴿᴬᵂ	tntsports1.uk	tntsports1.uk
UK: TNT SPORT 2 ᴿᴬᵂ	UK: TNT SPORT 2 ᴿᴬᵂ	tntsports2.uk	tntsports2.uk
UK: TNT SPORT 3 ᴿᴬᵂ	UK: TNT SPORT 3 ᴿᴬᵂ	tntsports3.uk	tntsports3.uk
UK: TNT SPORT 4 ᴿᴬᵂ	UK: TNT SPORT 4 ᴿᴬᵂ	tntsports4.uk	tntsports4.uk
UK: SKY SPORT FOOTBALL ᴿᴬᵂ	UK: SKY SPORT FOOTBALL ᴿᴬᵂ	skysportsfootball.uk	skysportsfootball.uk
UK: PREMIER SPORT 1 ᴿᴬᵂ	UK: PREMIER SPORT 1 ᴿᴬᵂ	premiersports1.uk	premiersports1.uk
UK: PREMIER SPORT 2 ᴿᴬᵂ	UK: PREMIER SPORT 2 ᴿᴬᵂ	premiersports2.uk	premiersports2.uk
##### SINGAPORE ᴿᴬᵂ #####	##### SINGAPORE ᴿᴬᵂ #####		##### SINGAPORE ᴿᴬᵂ #####
SG: HUB PREMIER 2 ᵁᴴᴰ ³⁸⁴⁰ᴾ	SG: HUB PREMIER 2 ᵁᴴᴰ ³⁸⁴⁰ᴾ	hubpremier2.sg	hubpremier2.sg
SG: HUB PREMIER 1 ᴿᴬᵂ	SG: HUB PREMIER 1 ᴿᴬᵂ	hubpremier1.sg	hubpremier1.sg
SG: HUB PREMIER 2 ᴿᴬᵂ	SG: HUB PREMIER 2 ᴿᴬᵂ	hubpremier2.sg	hubpremier2.sg
SG: HUB PREMIER 3 ᴿᴬᵂ	SG: HUB PREMIER 3 ᴿᴬᵂ	hubpremier3.sg	hubpremier3.sg
SG: HUB PREMIER 4 ᴿᴬᵂ	SG: HUB PREMIER 4 ᴿᴬᵂ	hubpremier4.sg	hubpremier4.sg
SG: HUB PREMIER 5 ᴿᴬᵂ	SG: HUB PREMIER 5 ᴿᴬᵂ	hubpremier5.sg	hubpremier5.sg
SG: HUB PREMIER 6 ᴿᴬᵂ	SG: HUB PREMIER 6 ᴿᴬᵂ	hubpremier6.sg	hubpremier6.sg
SG: HUB PREMIER 7 ᴿᴬᵂ	SG: HUB PREMIER 7 ᴿᴬᵂ	hubpremier7.sg	hubpremier7.sg
SG: HUB PREMIER 8 ᴿᴬᵂ	SG: HUB PREMIER 8 ᴿᴬᵂ	hubpremier8.sg	hubpremier8.sg
SG: HUB PREMIER 9 ᴿᴬᵂ	SG: HUB PREMIER 9 ᴿᴬᵂ		SG: HUB PREMIER 9 ᴿᴬᵂ
